DEVICECLASSID,DEVICEID,UNIQUEMSID,SALESTRANSACTIONNO,COUNT(1), 
201,201164,2178,361012,2, 
201,201168,2425,199731,2, 
201,201169,2430,353435,2, 
201,201171,2441,261735,2, 
201,201172,2332,54403,2, 
201,201172,2332,54404,2, 
201,201172,2333,54750,2, 
201,201172,2377,62459,2, 
201,201176,1980,348055,2, 
201,201177,1929,278270,2, 
201,201178,1905,235429,2, 
201,201179,1925,136675,2, 
201,201186,2214,340616,2, 
201,201187,2203,313901,2, 
201,201187,2203,313902,2, 
201,201188,2298,406427,2, 
201,201194,2509,382617,2, 
201,201194,2511,382831,2, 
201,201196,2525,355201,2, 
201,201199,2449,302215,2, 
201,201202,2426,261297,2, 
201,201204,2556,361796,2, 
201,201205,2583,674916,2, 
201,201205,2583,674917,2, 
201,201212,2403,126678,2, 
201,201216,2064,223986,2, 
201,201218,2121,108640,2, 
201,201219,2162,138168,2, 
201,201223,2264,262512,2, 
201,201224,2186,384178,2, 
201,201226,2531,763343,2, 
201,201226,2548,768320,2, 
201,201228,2217,345162,2, 
201,201229,2353,311995,2, 
201,201230,1908,189527,2, 
201,201231,1917,195317,2, 
201,201233,2180,449025,2, 
201,201233,2183,449741,2, 
201,201233,2214,455213,2, 
201,201234,2153,361439,2, 
201,201234,2178,365619,2, 
201,201235,2179,397719,2, 
201,201235,2196,400573,2, 
201,201241,2169,101083,2, 
201,201243,2182,442857,2, 
201,201245,2150,500912,2, 
201,201245,2172,506480,2, 
201,201246,2107,437478,2, 
201,201246,2142,445893,2, 
201,201250,1900,191065,2, 
201,201250,1933,195838,2, 
201,201252,1832,41769,2, 
201,201252,1848,45313,2, 
201,201252,1858,47218,2, 
201,201254,1638,49991,2, 
201,201256,1708,73518,2, 
201,201258,1766,99004,2, 
201,201259,1788,175681,2, 
201,201259,1815,179375,2, 
201,201260,1659,9447,2, 
201,201260,1673,10646,2, 
201,201261,1556,45766,2, 
201,201266,1600,6573,2, 
201,201266,1600,6574,2, 
201,201272,1674,100125,2, 
201,201272,1674,100126,2, 
201,201273,1346,55465,2, 
201,201273,1370,56610,2, 
201,201273,1375,56923,2, 
201,201274,1595,32222,2, 
201,201274,1595,32233,2, 
201,201274,1597,32286,2, 
201,201279,1960,267261,2, 
201,201279,1982,271173,2, 
201,201279,2003,274555,2, 
201,201280,1988,276307,2, 
201,201280,2009,279467,2, 
201,201281,1680,69107,2, 
201,201295,2292,229951,2, 
201,201311,2433,479255,2, 
201,201312,2266,116077,2, 
201,201314,2252,318375,2, 
201,201315,2274,345527,2, 
201,201317,2172,333178,2, 
201,201319,2103,245812,2, 
201,201325,1672,100392,2, 
201,201326,1647,88427,2, 
201,201329,1646,56487,2, 
201,201333,1940,235832,2, 
201,201334,1900,15917,2, 
201,201336,1804,191627,2, 
201,201337,1903,291277,2, 
201,201337,1926,294500,2, 
201,201341,1940,304339,2, 
201,201355,1293,101786,2, 
201,201355,1298,102211,2, 
201,201356,1214,128233,2, 
201,201358,1370,232709,2, 
201,201358,1376,234258,2, 
201,201358,1392,238311,2, 
201,201359,1330,210158,2, 
201,201359,1334,211339,2, 
201,201360,733,17116,2, 
202,202004,1967,223403,2, 
202,202004,1977,224999,2, 
202,202008,1823,51992,2, 
202,202015,1597,79781,2, 
202,202016,1612,66212,2, 
202,202017,1597,91198,2, 
202,202018,1535,19669,2, 
202,202024,1489,113612,2, 
202,202025,1489,64809,2, 
202,202029,1481,84613,2, 
202,202031,1467,66413,2, 
202,202032,1439,76910,2, 
202,202032,1439,76911,2, 
202,202032,1439,76912,2, 
202,202032,1466,78697,2, 
202,202032,1466,78734,2, 
202,202034,1442,191496,2, 
202,202043,1470,45370,2, 
202,202055,1509,105415,2, 
202,202057,1514,54426,2, 
202,202059,1503,52228,2, 
202,202067,1533,89793,2, 
202,202070,1620,46145,2, 
202,202073,1622,78146,2, 
202,202076,1532,190064,2, 
202,202080,1396,95412,2, 
202,202080,1407,96457,2, 
202,202083,1397,165711,2, 
202,202083,1398,165782,2, 
202,202083,1405,166323,2, 
202,202083,1426,167159,2, 
202,202085,1465,146846,2, 
202,202087,1435,175559,2, 
202,202089,1422,210634,2, 
202,202089,1452,214591,2, 
202,202090,1443,216102,2, 
202,202090,1448,217126,2, 
202,202090,1450,217305,2, 
202,202091,1432,165869,2, 
202,202092,1411,145078,2, 
202,202109,1491,111997,2, 
202,202110,1647,256615,2, 
202,202110,1668,261113,2, 
202,202112,1672,92090,2, 
202,202112,1678,92094,2, 
202,202116,1558,117387,2, 
202,202118,1575,152218,2, 
202,202128,1634,54243,2, 
202,202135,1642,3888,2, 
202,202135,1665,5450,2, 
202,202148,1565,118887,2, 
202,202155,1424,91739,2, 
202,202157,1558,180803,2, 
202,202157,1571,183097,2, 
202,202158,1500,325644,2, 
202,202162,1568,218824,2, 
202,202162,1570,219306,2, 
202,202164,1568,52809,2, 
202,202165,1387,184987,2, 
202,202170,1432,38125,2, 
202,202171,1412,42889,2, 
202,202174,1388,202457,2, 
202,202174,1388,202458,2, 
202,202174,1389,202713,2, 
202,202175,1399,104678,2, 
202,202176,1370,137207,2, 
202,202180,1374,40178,2, 
202,202183,1403,44255,2, 
202,202186,1397,27836,2, 
202,202192,1393,236222,2, 
202,202193,1366,243152,2, 
202,202193,1378,245888,2, 
202,202211,149,2568,2, 
302,302152,2316,444,2, 
411,411100,1524,1171910,2, 
411,411100,1524,1171911,2, 
411,411100,1525,1173816,2, 
411,411100,1555,1205736,2, 
411,411200,1533,1402744,2, 
411,411200,1533,1403381,2, 
411,411200,1561,1433174,2, 
411,411200,1561,1434049,2, 
411,411200,1561,1434050,2, 
411,411200,1562,1434569,2, 
411,411200,1562,1434668,2, 
411,411200,1564,1435735,2, 
411,411200,1564,1436458,2, 
411,411200,1567,1440660,2, 
411,411300,1601,1265000,2, 
411,411300,1601,1265202,2, 
411,411300,1601,1265203,2, 
411,411300,1601,1265330,2, 
411,411300,1603,1267656,2, 
411,411300,1605,1269884,2, 
411,411001,1990,47852,2, 
411,411005,1980,281620,2, 
411,411005,1980,281621,2, 
411,411005,1993,285334,2, 
411,411006,1979,278285,2, 
411,411006,1980,278651,2, 
411,411007,1958,85708,2, 
411,411007,1961,89119,2, 
411,411007,1963,90216,2, 
411,411007,1964,92178,2, 
411,411007,1980,110629,2, 
411,411007,1987,117875,2, 
411,411007,1988,118241,2, 
411,411007,1989,119219,2, 
411,411007,1989,119220,2, 
411,411007,1991,121137,2, 
411,411008,1960,1594802,2, 
411,411008,1960,1594859,2, 
411,411008,1960,1594860,2, 
411,411008,1962,1596577,2, 
411,411008,1965,1598783,2, 
411,411008,1965,1598784,2, 
411,411008,1981,1613804,2, 
411,411008,1983,1614936,2, 
411,411008,1990,1621179,2, 
411,411008,1993,1623130,2, 
411,411009,1963,1255074,2, 
411,411009,1964,1256006,2, 
411,411009,1965,1256554,2, 
411,411009,1967,1257991,2, 
411,411009,1991,1273814,2, 
411,411010,1962,997779,2, 
411,411010,1966,999682,2, 
411,411010,1967,1000248,2, 
411,411010,1975,1005435,2, 
411,411010,1989,1012486,2, 
411,411010,1990,1012904,2, 
411,411010,1995,1015755,2, 
411,411011,1777,1096165,2, 
411,411011,1777,1096393,2, 
411,411011,1777,1096718,2, 
411,411011,1778,1097089,2, 
411,411011,1779,1097654,2, 
411,411011,1783,1099506,2, 
411,411011,1805,1113967,2, 
411,411011,1805,1114037,2, 
411,411011,1805,1114041,2, 
411,411011,1805,1114052,2, 
411,411011,1806,1114708,2, 
411,411012,1776,1218117,2, 
411,411012,1777,1218700,2, 
411,411012,1777,1218829,2, 
411,411012,1804,1238780,2, 
411,411012,1804,1238781,2, 
411,411012,1804,1238956,2, 
411,411013,1777,730115,2, 
411,411013,1805,739996,2, 
411,411013,1808,740880,2, 
411,411014,1836,534801,2, 
411,411014,1836,534802,2, 
411,411014,1864,553197,2, 
411,411014,1864,553233,2, 
411,411014,1867,555158,2, 
411,411015,1866,213774,2, 
411,411015,1866,213807,2, 
411,411015,1866,213808,2, 
411,411015,1870,215508,2, 
411,411016,1838,809495,2, 
411,411016,1844,812414,2, 
411,411016,1845,811563,2, 
411,411017,1836,1120177,2, 
411,411017,1836,1120280,2, 
411,411017,1844,1123847,2, 
411,411017,1844,1123848,2, 
411,411017,1864,1138480,2, 
411,411018,1847,11061,2, 
411,411018,1876,15791,2, 
411,411019,1843,13135,2, 
411,411019,1871,19754,2, 
411,411020,1844,13512,2, 
411,411021,1844,540893,2, 
411,411022,1843,688352,2, 
411,411022,1843,688445,2, 
411,411022,1871,701091,2, 
411,411022,1874,702231,2, 
411,411023,1845,887044,2, 
411,411023,1845,887126,2, 
411,411023,1873,903586,2, 
411,411023,1873,903587,2, 
411,411024,1846,1004237,2, 
411,411024,1846,1004363,2, 
411,411024,1849,1006353,2, 
411,411024,1852,1007517,2, 
411,411024,1874,1025203,2, 
411,411024,1874,1025366,2, 
411,411024,1874,1025420,2, 
411,411025,1851,2404535,2, 
411,411025,1851,2404682,2, 
411,411025,1851,2404997,2, 
411,411025,1851,2405257,2, 
411,411025,1851,2405726,2, 
411,411025,1853,2409443,2, 
411,411025,1862,2424684,2, 
411,411025,1862,2424685,2, 
411,411025,1878,2451068,2, 
411,411025,1878,2451272,2, 
411,411025,1878,2451355,2, 
411,411025,1878,2451760,2, 
411,411025,1878,2451935,2, 
411,411025,1878,2451936,2, 
411,411025,1881,2455324,2, 
411,411026,1848,55354,2, 
411,411026,1848,55492,2, 
411,411026,1848,55493,2, 
411,411026,1848,55603,2, 
411,411026,1875,78024,2, 
411,411026,1875,78266,2, 
411,411027,1879,684480,2, 
411,411028,1901,116713,2, 
411,411028,1901,116857,2, 
411,411028,1901,117015,2, 
411,411028,1901,117130,2, 
411,411028,1901,117139,2, 
411,411028,1901,117140,2, 
411,411028,1901,117184,2, 
411,411028,1901,117185,2, 
411,411028,1901,117444,2, 
411,411028,1901,117515,2, 
411,411028,1901,117568,2, 
411,411028,1902,118814,2, 
411,411028,1902,118815,2, 
411,411028,1931,152612,2, 
411,411028,1931,153061,2, 
411,411028,1932,154770,2, 
411,411028,1933,155989,2, 
411,411028,1935,158216,2, 
411,411028,1935,158295,2, 
411,411028,1938,164092,2, 
411,411029,1897,1666700,2, 
411,411029,1897,1666473,2, 
411,411029,1897,1666743,2, 
411,411029,1897,1666777,2, 
411,411029,1897,1666793,2, 
411,411029,1897,1666802,2, 
411,411029,1897,1666996,2, 
411,411029,1930,1705245,2, 
411,411030,1893,1162312,2, 
411,411030,1893,1162392,2, 
411,411030,1893,1162420,2, 
411,411030,1922,1179669,2, 
411,411030,1922,1179727,2, 
411,411030,1922,1179728,2, 
411,411030,1922,1179985,2, 
411,411030,1925,1181436,2, 
411,411031,1893,286569,2, 
411,411031,1922,301702,2, 
411,411031,1922,301744,2, 
411,411032,1598,1541172,2, 
411,411032,1598,1541732,2, 
411,411032,1598,1541869,2, 
411,411032,1598,1541886,2, 
411,411032,1598,1542147,2, 
411,411032,1599,1542575,2, 
411,411032,1604,1547404,2, 
411,411032,1604,1547405,2, 
411,411032,1626,1576478,2, 
411,411032,1626,1576484,2, 
411,411032,1626,1576487,2, 
411,411032,1626,1576588,2, 
411,411032,1626,1576688,2, 
411,411032,1626,1576758,2, 
411,411032,1626,1576791,2, 
411,411032,1626,1577126,2, 
411,411032,1626,1577128,2, 
411,411032,1629,1579471,2, 
411,411032,1629,1579850,2, 
411,411032,1629,1579851,2, 
411,411033,1598,908223,2, 
411,411033,1598,908293,2, 
411,411033,1598,908463,2, 
411,411033,1598,908464,2, 
411,411033,1598,908720,2, 
411,411033,1599,909135,2, 
411,411033,1615,919139,2, 
411,411033,1626,925470,2, 
411,411033,1626,925722,2, 
411,411033,1626,925739,2, 
411,411033,1626,925740,2, 
411,411034,1600,715671,2, 
411,411034,1600,715672,2, 
411,411034,1617,724238,2, 
411,411034,1623,726924,2, 
411,411034,1625,727767,2, 
411,411034,1628,729694,2, 
411,411034,1631,730557,2, 
411,411035,1598,1455152,2, 
411,411035,1598,1455845,2, 
411,411035,1598,1455869,2, 
411,411035,1599,1456487,2, 
411,411035,1599,1456488,2, 
411,411035,1599,1456489,2, 
411,411035,1599,1456490,2, 
411,411035,1604,1460311,2, 
411,411035,1605,1462118,2, 
411,411035,1611,1468535,2, 
411,411035,1615,1473050,2, 
411,411035,1616,1474218,2, 
411,411035,1626,1483419,2, 
411,411035,1626,1483484,2, 
411,411035,1626,1483788,2, 
411,411035,1626,1483911,2, 
411,411035,1626,1483947,2, 
411,411035,1627,1485221,2, 
411,411035,1629,1486429,2, 
411,411035,1630,1487536,2, 
411,411035,1630,1487556,2, 
411,411036,1600,1888032,2, 
411,411036,1599,1885967,2, 
411,411036,1599,1885973,2, 
411,411036,1599,1886006,2, 
411,411036,1599,1886152,2, 
411,411036,1599,1886208,2, 
411,411036,1599,1886333,2, 
411,411036,1599,1886584,2, 
411,411036,1599,1886667,2, 
411,411036,1599,1886770,2, 
411,411036,1599,1886911,2, 
411,411036,1599,1887049,2, 
411,411036,1611,1902381,2, 
411,411036,1611,1902382,2, 
411,411036,1611,1902383,2, 
411,411036,1616,1911692,2, 
411,411036,1617,1913511,2, 
411,411036,1617,1913512,2, 
411,411036,1624,1922497,2, 
411,411036,1627,1926745,2, 
411,411036,1627,1926813,2, 
411,411036,1627,1926907,2, 
411,411036,1627,1926944,2, 
411,411036,1627,1927170,2, 
411,411036,1627,1927288,2, 
411,411036,1627,1927563,2, 
411,411036,1627,1927604,2, 
411,411037,1509,2061110,2, 
411,411037,1536,2104542,2, 
411,411037,1536,2104634,2, 
411,411037,1536,2104686,2, 
411,411037,1536,2105098,2, 
411,411038,1511,2056882,2, 
411,411038,1511,2056955,2, 
411,411038,1511,2057029,2, 
411,411038,1511,2057157,2, 
411,411038,1511,2057272,2, 
411,411038,1511,2057273,2, 
411,411038,1511,2057307,2, 
411,411038,1511,2057576,2, 
411,411038,1511,2057591,2, 
411,411038,1511,2057670,2, 
411,411038,1511,2057751,2, 
411,411038,1511,2057753,2, 
411,411038,1511,2057813,2, 
411,411038,1512,2058628,2, 
411,411038,1518,2066334,2, 
411,411038,1537,2101272,2, 
411,411038,1540,2106836,2, 
411,411039,1511,2323309,2, 
411,411039,1511,2323551,2, 
411,411039,1511,2323632,2, 
411,411039,1511,2323659,2, 
411,411039,1511,2323777,2, 
411,411039,1511,2323844,2, 
411,411039,1511,2323978,2, 
411,411039,1511,2324007,2, 
411,411039,1511,2324049,2, 
411,411039,1511,2324192,2, 
411,411039,1511,2324686,2, 
411,411039,1512,2326167,2, 
411,411039,1512,2326436,2, 
411,411039,1518,2335145,2, 
411,411039,1522,2345270,2, 
411,411039,1531,2367662,2, 
411,411039,1538,2379910,2, 
411,411039,1538,2380187,2, 
411,411039,1538,2380285,2, 
411,411039,1538,2380286,2, 
411,411039,1538,2380415,2, 
411,411039,1538,2380416,2, 
411,411039,1538,2380580,2, 
411,411039,1538,2380591,2, 
411,411039,1538,2380687,2, 
411,411039,1541,2386975,2, 
411,411040,1512,2345785,2, 
411,411040,1512,2345848,2, 
411,411040,1512,2345867,2, 
411,411040,1512,2345977,2, 
411,411040,1512,2346016,2, 
411,411040,1512,2346034,2, 
411,411040,1512,2346274,2, 
411,411040,1512,2346427,2, 
411,411040,1512,2347128,2, 
411,411040,1513,2348031,2, 
411,411040,1518,2355461,2, 
411,411040,1521,2366047,2, 
411,411040,1524,2372358,2, 
411,411040,1535,2395946,2, 
411,411040,1539,2405320,2, 
411,411040,1539,2405480,2, 
411,411040,1539,2405841,2, 
411,411040,1539,2406006,2, 
411,411040,1539,2406140,2, 
411,411040,1539,2406141,2, 
411,411040,1539,2406160,2, 
411,411040,1539,2406304,2, 
411,411040,1539,2406367,2, 
411,411040,1539,2406505,2, 
411,411041,1512,2390491,2, 
411,411041,1512,2390547,2, 
411,411041,1512,2390677,2, 
411,411041,1512,2390891,2, 
411,411041,1512,2390899,2, 
411,411041,1512,2390994,2, 
411,411041,1512,2391202,2, 
411,411041,1512,2391295,2, 
411,411041,1512,2391499,2, 
411,411041,1513,2393485,2, 
411,411041,1513,2393752,2, 
411,411041,1519,2402284,2, 
411,411041,1524,2417241,2, 
411,411041,1524,2417242,2, 
411,411041,1539,2452286,2, 
411,411041,1539,2452318,2, 
411,411041,1539,2452502,2, 
411,411041,1539,2452563,2, 
411,411041,1539,2452626,2, 
411,411041,1539,2452707,2, 
411,411041,1539,2452836,2, 
411,411041,1539,2452892,2, 
411,411041,1539,2452916,2, 
411,411041,1539,2452947,2, 
411,411041,1539,2452953,2, 
411,411041,1539,2453004,2, 
411,411041,1539,2453058,2, 
411,411041,1539,2453266,2, 
411,411041,1539,2453419,2, 
411,411041,1539,2453530,2, 
411,411041,1539,2453657,2, 
411,411041,1539,2453817,2, 
411,411041,1539,2453820,2, 
411,411041,1539,2454410,2, 
411,411042,1494,1356064,2, 
411,411042,1494,1356151,2, 
411,411042,1494,1356215,2, 
411,411042,1494,1356342,2, 
411,411042,1494,1356412,2, 
411,411042,1494,1356413,2, 
411,411042,1494,1356421,2, 
411,411042,1494,1356495,2, 
411,411042,1494,1356527,2, 
411,411042,1497,1357892,2, 
411,411042,1501,1360598,2, 
411,411042,1515,1378447,2, 
411,411042,1523,1386944,2, 
411,411042,1523,1386945,2, 
411,411042,1523,1387004,2, 
411,411042,1523,1387121,2, 
411,411042,1525,1388300,2, 
411,411042,1526,1388932,2, 
411,411042,1528,1391935,2, 
411,411043,1491,996690,2, 
411,411043,1491,996712,2, 
411,411043,1491,996972,2, 
411,411043,1491,998045,2, 
411,411043,1492,999432,2, 
411,411043,1493,1001997,2, 
411,411043,1520,1046471,2, 
411,411043,1520,1046538,2, 
411,411043,1520,1046627,2, 
411,411043,1520,1046764,2, 
411,411043,1520,1046790,2, 
411,411043,1520,1046885,2, 
411,411043,1520,1046905,2, 
411,411043,1520,1046909,2, 
411,411043,1520,1046910,2, 
411,411043,1523,1050983,2, 
411,411043,1523,1050984,2, 
411,411043,1525,1054305,2, 
411,411044,1489,39274,2, 
411,411044,1489,39567,2, 
411,411044,1489,39704,2, 
411,411044,1489,39927,2, 
411,411044,1489,40170,2, 
411,411044,1489,40201,2, 
411,411044,1489,40323,2, 
411,411044,1491,42540,2, 
411,411044,1496,45638,2, 
411,411044,1503,527,2, 
411,411044,1512,16969,2, 
411,411044,1519,30363,2, 
411,411044,1519,30375,2, 
411,411044,1519,30376,2, 
411,411044,1519,30639,2, 
411,411044,1519,30744,2, 
411,411044,1519,30821,2, 
411,411044,1519,30996,2, 
411,411044,1519,31215,2, 
411,411045,1505,85404,2, 
411,411045,1505,85509,2, 
411,411045,1505,85561,2, 
411,411045,1505,86018,2, 
411,411045,1506,87826,2, 
411,411045,1507,88589,2, 
411,411045,1534,122257,2, 
411,411045,1534,122265,2, 
411,411045,1534,122425,2, 
411,411045,1537,125047,2, 
411,411045,1537,125575,2, 
411,411045,1537,125702,2, 
411,411046,1516,628179,2, 
411,411046,1516,628180,2, 
411,411046,1522,631970,2, 
411,411046,1522,632303,2, 
411,411047,1503,381929,2, 
411,411047,1503,381998,2, 
411,411049,1475,358858,2, 
411,411049,1475,359017,2, 
411,411049,1475,359668,2, 
411,411049,1506,386903,2, 
411,411050,1474,1318705,2, 
411,411050,1474,1318816,2, 
411,411050,1474,1319012,2, 
411,411050,1480,1324281,2, 
411,411050,1501,1347947,2, 
411,411051,1476,40438,2, 
411,411051,1487,52665,2, 
411,411051,1496,67032,2, 
411,411051,1497,67350,2, 
411,411051,1502,73341,2, 
411,411051,1502,73410,2, 
411,411051,1502,73447,2, 
411,411052,1484,1169924,2, 
411,411052,1484,1169972,2, 
411,411052,1504,1204099,2, 
411,411052,1517,1223929,2, 
411,411053,1477,1929608,2, 
411,411053,1477,1929873,2, 
411,411053,1477,1930359,2, 
411,411053,1478,1931824,2, 
411,411053,1483,1937186,2, 
411,411053,1484,1941761,2, 
411,411053,1504,1977266,2, 
411,411053,1504,1977355,2, 
411,411053,1504,1977584,2, 
411,411053,1505,1979747,2, 
411,411053,1512,1990454,2, 
411,411055,1459,449709,2, 
411,411055,1486,482590,2, 
411,411055,1486,482594,2, 
411,411056,1456,967390,2, 
411,411056,1456,967409,2, 
411,411056,1457,968784,2, 
411,411056,1483,1023892,2, 
411,411056,1483,1024724,2, 
411,411056,1483,1024725,2, 
411,411056,1483,1024752,2, 
411,411056,1486,1026827,2, 
411,411058,1443,149309,2, 
411,411060,1406,273372,2, 
411,411061,1416,454566,2, 
411,411061,1416,454575,2, 
411,411061,1417,455040,2, 
411,411061,1418,455638,2, 
411,411061,1445,464524,2, 
411,411061,1445,464526,2, 
411,411062,1408,497797,2, 
411,411062,1408,497827,2, 
411,411062,1437,511602,2, 
411,411062,1437,511621,2, 
411,411063,1473,623063,2, 
411,411064,1465,472479,2, 
411,411064,1468,473946,2, 
411,411066,1478,398026,2, 
411,411067,1449,881068,2, 
411,411067,1467,895371,2, 
411,411067,1473,902056,2, 
411,411068,1442,1163759,2, 
411,411068,1470,465372,2, 
411,411068,1470,465373,2, 
411,411068,1471,466693,2, 
411,411068,1474,471402,2, 
411,411068,1476,473521,2, 
411,411069,1430,240279,2, 
411,411069,1430,240745,2, 
411,411069,1431,241730,2, 
411,411069,1433,244192,2, 
411,411069,1436,247796,2, 
411,411069,1458,286856,2, 
411,411069,1459,289253,2, 
411,411069,1459,289461,2, 
411,411069,1459,290119,2, 
411,411069,1459,290340,2, 
411,411069,1462,291588,2, 
411,411069,1462,292494,2, 
411,411069,1462,293309,2, 
411,411069,1466,300576,2, 
411,411070,1442,10883,2, 
411,411070,1442,11683,2, 
411,411070,1442,11728,2, 
411,411070,1442,12133,2, 
411,411070,1442,12435,2, 
411,411070,1442,12436,2, 
411,411070,1443,13261,2, 
411,411070,1444,16083,2, 
411,411070,1445,16248,2, 
411,411070,1448,19615,2, 
411,411070,1448,19616,2, 
411,411070,1448,19706,2, 
411,411070,1471,54840,2, 
411,411070,1471,55469,2, 
411,411070,1471,56032,2, 
411,411070,1474,57621,2, 
411,411070,1474,58614,2, 
411,411070,1475,59813,2, 
411,411070,1478,64043,2, 
411,411070,1479,65848,2, 
411,411071,1439,28226,2, 
411,411071,1439,29052,2, 
411,411071,1439,30183,2, 
411,411071,1440,32148,2, 
411,411071,1456,65868,2, 
411,411071,1468,95477,2, 
411,411072,1442,1579679,2, 
411,411072,1463,1613636,2, 
411,411072,1471,1626865,2, 
411,411072,1474,1631356,2, 
411,411072,1474,1631982,2, 
411,411073,1579,803924,2, 
411,411073,1598,817467,2, 
411,411073,1610,825814,2, 
411,411074,1584,1145461,2, 
411,411074,1590,1150998,2, 
411,411074,1612,1168453,2, 
411,411075,1579,1155966,2, 
411,411075,1608,1180393,2, 
411,411075,1608,1180397,2, 
411,411076,1616,1099895,2, 
411,411077,1604,748128,2, 
411,411078,1584,544405,2, 
411,411078,1606,552225,2, 
411,411079,1577,1024583,2, 
411,411082,1530,3591252,2, 
411,411082,1530,3592652,2, 
411,411082,1543,3624870,2, 
411,411082,1544,3630796,2, 
411,411082,1561,3673182,2, 
411,411082,1561,3673183,2, 
411,411082,1561,3673184,2, 
411,411082,1561,3673553,2, 
411,411083,1530,142292,2, 
411,411084,1470,954841,2, 
411,411086,1450,1169623,2, 
411,411089,1438,710060,2, 
411,411089,1438,710287,2, 
411,411090,1462,175074,2, 
411,411092,1441,572062,2, 
411,411092,1451,591974,2, 
411,411092,1461,610076,2, 
411,411095,1464,988646,2, 
411,411095,1464,989002,2, 
411,411096,1460,1561379,2, 
411,411096,1463,1564840,2, 
411,411097,1412,682052,2, 
411,411099,1443,397931,2, 
411,411101,1523,1206401,2, 
411,411101,1527,1209833,2, 
411,411101,1553,1231019,2, 
411,411102,1523,738599,2, 
411,411102,1550,755855,2, 
411,411102,1553,757005,2, 
411,411103,1523,221909,2, 
411,411103,1550,233821,2, 
411,411104,1523,213940,2, 
411,411105,1524,268100,2, 
411,411106,1482,1969494,2, 
411,411106,1482,1969495,2, 
411,411106,1490,1980450,2, 
411,411106,1490,1980451,2, 
411,411106,1509,2017832,2, 
411,411107,1484,2014371,2, 
411,411107,1484,2014978,2, 
411,411107,1486,2017739,2, 
411,411107,1511,2051649,2, 
411,411107,1511,2051695,2, 
411,411107,1511,2051910,2, 
411,411107,1511,2052578,2, 
411,411108,1483,1124482,2, 
411,411108,1506,1152526,2, 
411,411108,1510,1158310,2, 
411,411108,1512,1160396,2, 
411,411109,1487,1486796,2, 
411,411109,1493,1492166,2, 
411,411109,1514,1515771,2, 
411,411109,1514,1515974,2, 
411,411109,1516,1517706,2, 
411,411110,1478,1992812,2, 
411,411110,1478,1992813,2, 
411,411110,1478,1992850,2, 
411,411110,1478,1993773,2, 
411,411110,1479,1994550,2, 
411,411110,1489,2010877,2, 
411,411110,1505,2038368,2, 
411,411110,1505,2038483,2, 
411,411110,1505,2038581,2, 
411,411110,1506,2040173,2, 
411,411110,1508,2041777,2, 
411,411110,1508,2041778,2, 
411,411110,1511,2046731,2, 
411,411111,1483,2245059,2, 
411,411111,1483,2245437,2, 
