ACTION_LIST,TIME_NEW,USER_NEW,VALUE,PREVIOUS_ACTION_LIST,PREVIOUS_TIME_NEW,PREVIOUS_USER_NEW,PREVIOUS_VALUE,TIMEDIFF_BETWEEN_TRANSACTIONS
688380,11/23/2010 7:17:55 AM,OrderExecuter,0,688372,11/23/2010 12:40:52 AM,OrderExecuter,5000,0.275729166666667
664258,10/11/2010 10:47:57 PM,OrderExecuter,0,664197,10/11/2010 4:18:48 PM,OrderExecuter,1000,0.270243055555556
687468,11/22/2010 5:53:15 AM,OrderExecuter,0,687461,11/21/2010 11:24:15 PM,OrderExecuter,1000,0.270138888888889
660973,10/04/2010 6:56:11 AM,OrderExecuter,2000,660947,10/04/2010 12:28:13 AM,OrderExecuter,0,0.269421296296296
683182,11/10/2010 7:14:32 PM,OrderExecuter,0,682962,11/10/2010 12:49:31 PM,OrderExecuter,1000,0.267372685185185
678027,11/01/2010 8:06:12 PM,OrderExecuter,0,677790,11/01/2010 1:44:35 PM,OrderExecuter,2500,0.265011574074074
681319,11/07/2010 7:05:21 PM,OrderExecuter,0,681248,11/07/2010 12:50:50 PM,OrderExecuter,2000,0.260081018518519
662880,10/06/2010 6:41:56 PM,OrderExecuter,2000,662752,10/06/2010 12:40:26 PM,OrderExecuter,1000,0.251041666666667
661349,10/04/2010 2:49:12 PM,OrderExecuter,0,661024,10/04/2010 8:57:52 AM,OrderExecuter,500,0.243981481481481
692978,11/29/2010 6:33:48 AM,OrderExecuter,0,692966,11/29/2010 12:47:26 AM,OrderExecuter,5000,0.240532407407407
662289,10/05/2010 8:59:48 PM,OrderExecuter,0,662183,10/05/2010 3:23:28 PM,OrderExecuter,5000,0.233564814814815
664916,10/13/2010 2:39:22 AM,OrderExecuter,1000,664867,10/12/2010 9:04:35 PM,OrderExecuter,5000,0.232488425925926
675065,10/28/2010 8:05:44 AM,OrderExecuter,1000,675038,10/28/2010 2:33:19 AM,OrderExecuter,0,0.230844907407407
683616,11/12/2010 7:03:01 AM,OrderExecuter,0,683612,11/12/2010 1:30:52 AM,OrderExecuter,1000,0.230659722222222
668437,10/20/2010 4:07:23 PM,OrderExecuter,0,668305,10/20/2010 10:38:34 AM,OrderExecuter,2000,0.228344907407407
678899,11/03/2010 2:47:15 AM,OrderExecuter,0,678844,11/02/2010 9:19:51 PM,OrderExecuter,2000,0.227361111111111
693844,11/30/2010 5:34:30 AM,OrderExecuter,0,693818,11/30/2010 12:07:09 AM,OrderExecuter,0,0.227326388888889
660799,10/03/2010 4:59:33 PM,OrderExecuter,0,660739,10/03/2010 11:40:36 AM,OrderExecuter,2500,0.221493055555556
682012,11/08/2010 4:56:58 PM,OrderExecuter,0,681703,11/08/2010 11:38:18 AM,OrderExecuter,1000,0.221296296296296
683576,11/11/2010 8:08:54 PM,OrderExecuter,1000,683526,11/11/2010 3:14:14 PM,OrderExecuter,1000,0.20462962962963
669830,10/22/2010 7:53:48 PM,OrderExecuter,0,669743,10/22/2010 3:11:35 PM,OrderExecuter,1000,0.195983796296296
682102,11/09/2010 6:23:13 AM,OrderExecuter,2000,682098,11/09/2010 1:45:20 AM,OrderExecuter,500,0.192974537037037
664017,10/10/2010 6:36:51 PM,OrderExecuter,0,663976,10/10/2010 2:00:02 PM,OrderExecuter,2000,0.192233796296296
669281,10/21/2010 8:26:23 PM,OrderExecuter,1000,669201,10/21/2010 3:54:50 PM,OrderExecuter,2000,0.188576388888889
662954,10/06/2010 11:34:23 PM,OrderExecuter,0,662889,10/06/2010 7:03:52 PM,OrderExecuter,1000,0.187858796296296
669474,10/22/2010 11:00:43 AM,OrderExecuter,0,669393,10/22/2010 6:30:19 AM,OrderExecuter,1000,0.187777777777778
676610,10/30/2010 4:51:18 PM,OrderExecuter,2000,676540,10/30/2010 12:21:16 PM,OrderExecuter,500,0.187523148148148
679483,11/03/2010 7:38:18 PM,OrderExecuter,2000,679396,11/03/2010 3:13:31 PM,OrderExecuter,1000,0.183877314814815
672380,10/26/2010 6:46:29 AM,OrderExecuter,5000,671245,10/26/2010 2:22:08 AM,OrderExecuter,2500,0.183576388888889
676831,10/31/2010 1:02:53 PM,OrderExecuter,500,676730,10/31/2010 8:44:56 AM,OrderExecuter,0,0.179131944444444
663727,10/08/2010 9:58:10 PM,OrderExecuter,0,663698,10/08/2010 5:45:32 PM,OrderExecuter,500,0.175439814814815
673962,10/26/2010 9:33:15 PM,OrderExecuter,0,673903,10/26/2010 5:20:52 PM,OrderExecuter,500,0.175266203703704
671244,10/26/2010 2:22:07 AM,OrderExecuter,0,671233,10/25/2010 10:11:32 PM,OrderExecuter,1000,0.174016203703704
687199,11/20/2010 7:34:21 PM,OrderExecuter,0,687159,11/20/2010 3:33:50 PM,OrderExecuter,2500,0.167025462962963
675037,10/28/2010 2:33:18 AM,OrderExecuter,0,675011,10/27/2010 10:37:17 PM,OrderExecuter,2000,0.163900462962963
669939,10/23/2010 12:26:25 PM,OrderExecuter,0,669890,10/23/2010 8:33:28 AM,OrderExecuter,2500,0.161770833333333
686472,11/18/2010 9:50:26 PM,OrderExecuter,2000,686437,11/18/2010 6:01:17 PM,OrderExecuter,2000,0.159131944444444
674606,10/27/2010 12:51:38 PM,OrderExecuter,0,674227,10/27/2010 9:05:20 AM,OrderExecuter,1000,0.157152777777778
666860,10/17/2010 9:35:11 PM,OrderExecuter,0,666805,10/17/2010 5:49:26 PM,OrderExecuter,2000,0.156770833333333
677337,10/31/2010 11:49:59 PM,OrderExecuter,0,677133,10/31/2010 8:06:11 PM,OrderExecuter,2000,0.155416666666667
671232,10/25/2010 10:11:30 PM,OrderExecuter,0,671181,10/25/2010 6:29:34 PM,OrderExecuter,500,0.15412037037037
665288,10/13/2010 5:56:20 PM,OrderExecuter,0,665173,10/13/2010 2:14:51 PM,OrderExecuter,1000,0.15380787037037
680056,11/04/2010 5:44:17 PM,OrderExecuter,2000,679749,11/04/2010 2:03:56 PM,OrderExecuter,1000,0.153020833333333
673736,10/26/2010 2:58:06 PM,OrderExecuter,0,673507,10/26/2010 11:19:33 AM,OrderExecuter,1000,0.151770833333333
677460,11/01/2010 7:52:10 AM,OrderExecuter,0,677400,11/01/2010 4:14:11 AM,OrderExecuter,0,0.151377314814815
682710,11/09/2010 9:31:25 PM,OrderExecuter,0,682678,11/09/2010 5:54:10 PM,OrderExecuter,5000,0.150868055555556
683891,11/12/2010 1:16:42 PM,OrderExecuter,500,683665,11/12/2010 9:40:00 AM,OrderExecuter,1000,0.150486111111111
663937,10/10/2010 10:58:18 AM,OrderExecuter,0,663929,10/10/2010 7:22:15 AM,OrderExecuter,2000,0.150034722222222
685545,11/17/2010 4:21:59 PM,OrderExecuter,0,685388,11/17/2010 12:53:43 PM,OrderExecuter,0,0.14462962962963
687069,11/19/2010 11:56:20 PM,OrderExecuter,0,687056,11/19/2010 8:32:19 PM,OrderExecuter,1000,0.141678240740741
665145,10/13/2010 1:13:11 PM,OrderExecuter,0,664944,10/13/2010 9:52:59 AM,OrderExecuter,2000,0.139027777777778
687362,11/21/2010 5:48:45 PM,OrderExecuter,0,687345,11/21/2010 2:29:01 PM,OrderExecuter,1000,0.138703703703704
676412,10/29/2010 10:06:13 PM,OrderExecuter,0,676362,10/29/2010 6:49:18 PM,OrderExecuter,0,0.136747685185185
676291,10/29/2010 4:00:12 PM,OrderExecuter,1000,676116,10/29/2010 12:43:33 PM,OrderExecuter,2000,0.1365625
664867,10/12/2010 9:04:35 PM,OrderExecuter,5000,664813,10/12/2010 5:49:10 PM,OrderExecuter,1000,0.135706018518519
687460,11/21/2010 11:24:15 PM,OrderExecuter,0,687405,11/21/2010 8:09:06 PM,OrderExecuter,500,0.135520833333333
667444,10/18/2010 7:47:09 PM,OrderExecuter,0,667390,10/18/2010 4:33:25 PM,OrderExecuter,2000,0.134537037037037
668574,10/21/2010 12:31:33 AM,OrderExecuter,0,668536,10/20/2010 9:17:52 PM,OrderExecuter,0,0.134502314814815
670986,10/25/2010 2:55:17 PM,OrderExecuter,0,670689,10/25/2010 11:47:12 AM,OrderExecuter,2000,0.130613425925926
681035,11/05/2010 8:48:31 PM,OrderExecuter,1000,681011,11/05/2010 5:41:17 PM,OrderExecuter,2000,0.130023148148148
678760,11/02/2010 4:20:41 PM,OrderExecuter,0,678696,11/02/2010 1:18:03 PM,OrderExecuter,0,0.126828703703704
677395,11/01/2010 2:52:17 AM,OrderExecuter,0,677337,10/31/2010 11:49:59 PM,OrderExecuter,0,0.126597222222222
692078,11/25/2010 10:30:36 AM,OrderExecuter,0,692040,11/25/2010 7:29:13 AM,OrderExecuter,1000,0.125960648148148
670234,10/24/2010 5:48:25 PM,OrderExecuter,2500,670146,10/24/2010 2:47:31 PM,OrderExecuter,2000,0.125625
685606,11/17/2010 7:27:19 PM,OrderExecuter,2000,685552,11/17/2010 4:27:32 PM,OrderExecuter,0,0.124849537037037
692713,11/28/2010 12:06:00 AM,OrderExecuter,0,692691,11/27/2010 9:09:33 PM,OrderExecuter,1000,0.122534722222222
680776,11/05/2010 3:11:35 PM,OrderExecuter,500,680432,11/05/2010 12:16:06 PM,OrderExecuter,2000,0.121863425925926
683380,11/11/2010 10:35:20 AM,OrderExecuter,0,683254,11/11/2010 7:40:50 AM,OrderExecuter,2000,0.121180555555556
693955,11/30/2010 9:15:20 AM,OrderExecuter,0,693850,11/30/2010 6:21:38 AM,OrderExecuter,1000,0.120625
678824,11/02/2010 7:42:31 PM,OrderExecuter,0,678774,11/02/2010 4:48:51 PM,OrderExecuter,2500,0.120601851851852
663747,10/09/2010 12:50:20 AM,OrderExecuter,0,663728,10/08/2010 9:58:11 PM,OrderExecuter,1000,0.119548611111111
682866,11/10/2010 11:15:16 AM,OrderExecuter,0,682786,11/10/2010 8:24:27 AM,OrderExecuter,0,0.118622685185185
680115,11/04/2010 9:28:31 PM,OrderExecuter,0,680082,11/04/2010 6:39:01 PM,OrderExecuter,1000,0.117708333333333
682163,11/09/2010 9:11:29 AM,OrderExecuter,0,682102,11/09/2010 6:23:13 AM,OrderExecuter,2000,0.116851851851852
664531,10/12/2010 1:36:41 PM,OrderExecuter,2000,664352,10/12/2010 10:49:24 AM,OrderExecuter,1000,0.116168981481481
692827,11/28/2010 3:53:15 PM,OrderExecuter,0,692786,11/28/2010 1:08:45 PM,OrderExecuter,5000,0.114236111111111
671180,10/25/2010 6:29:34 PM,OrderExecuter,0,671063,10/25/2010 3:46:00 PM,OrderExecuter,2000,0.113587962962963
666021,10/15/2010 9:21:17 AM,OrderExecuter,0,665922,10/15/2010 6:38:48 AM,OrderExecuter,5000,0.112835648148148
677708,11/01/2010 1:03:51 PM,OrderExecuter,0,677639,11/01/2010 10:23:43 AM,OrderExecuter,2000,0.111203703703704
660501,10/02/2010 1:35:56 PM,OrderExecuter,0,660436,10/02/2010 10:55:53 AM,OrderExecuter,0,0.111145833333333
683612,11/12/2010 1:30:52 AM,OrderExecuter,1000,683606,11/11/2010 10:51:18 PM,OrderExecuter,1000,0.110810185185185
689446,11/24/2010 11:06:03 AM,OrderExecuter,500,689280,11/24/2010 8:27:06 AM,OrderExecuter,2000,0.110381944444444
682547,11/09/2010 2:44:43 PM,OrderExecuter,0,682356,11/09/2010 12:06:04 PM,OrderExecuter,2000,0.110173611111111
684098,11/12/2010 4:51:53 PM,OrderExecuter,1000,683979,11/12/2010 2:14:30 PM,OrderExecuter,2000,0.109293981481481
687570,11/22/2010 9:48:27 AM,OrderExecuter,0,687473,11/22/2010 7:11:19 AM,OrderExecuter,2500,0.10912037037037
681228,11/07/2010 11:06:51 AM,OrderExecuter,0,681213,11/07/2010 8:30:10 AM,OrderExecuter,2500,0.10880787037037
660947,10/04/2010 12:28:13 AM,OrderExecuter,0,660904,10/03/2010 9:52:57 PM,OrderExecuter,0,0.107824074074074
666628,10/16/2010 1:43:55 PM,OrderExecuter,0,666588,10/16/2010 11:11:06 AM,OrderExecuter,1000,0.106122685185185
692907,11/28/2010 8:04:55 PM,OrderExecuter,0,692863,11/28/2010 5:32:06 PM,OrderExecuter,1000,0.106122685185185
666889,10/18/2010 12:07:48 AM,OrderExecuter,2500,666861,10/17/2010 9:35:12 PM,OrderExecuter,500,0.105972222222222
688523,11/23/2010 9:50:26 AM,OrderExecuter,5000,688380,11/23/2010 7:17:55 AM,OrderExecuter,0,0.105914351851852
676000,10/29/2010 10:41:16 AM,OrderExecuter,0,675794,10/29/2010 8:09:19 AM,OrderExecuter,0,0.105520833333333
663698,10/08/2010 5:45:32 PM,OrderExecuter,500,663667,10/08/2010 3:15:11 PM,OrderExecuter,2000,0.104409722222222
662323,10/05/2010 11:53:22 PM,OrderExecuter,0,662301,10/05/2010 9:23:46 PM,OrderExecuter,2500,0.103888888888889
687886,11/22/2010 1:33:48 PM,OrderExecuter,0,687772,11/22/2010 11:06:14 AM,OrderExecuter,500,0.102476851851852
670549,10/25/2010 10:25:44 AM,OrderExecuter,0,670470,10/25/2010 7:58:26 AM,OrderExecuter,2500,0.102291666666667
664758,10/12/2010 4:01:57 PM,OrderExecuter,500,664531,10/12/2010 1:36:41 PM,OrderExecuter,2000,0.10087962962963
685668,11/18/2010 12:16:58 AM,OrderExecuter,1000,685648,11/17/2010 9:53:05 PM,OrderExecuter,500,0.0999189814814815
668109,10/19/2010 6:36:18 PM,OrderExecuter,2500,668044,10/19/2010 4:12:28 PM,OrderExecuter,1000,0.0998842592592593
679745,11/04/2010 1:55:58 PM,OrderExecuter,0,679654,11/04/2010 11:34:54 AM,OrderExecuter,2500,0.097962962962963
682079,11/08/2010 10:53:53 PM,OrderExecuter,500,682058,11/08/2010 8:34:01 PM,OrderExecuter,2000,0.0971296296296296
683597,11/11/2010 10:28:09 PM,OrderExecuter,1000,683576,11/11/2010 8:08:54 PM,OrderExecuter,1000,0.0967013888888889
687042,11/19/2010 6:19:20 PM,OrderExecuter,2000,686978,11/19/2010 4:00:11 PM,OrderExecuter,2000,0.0966319444444444
666499,10/15/2010 9:37:19 PM,OrderExecuter,0,666465,10/15/2010 7:19:12 PM,OrderExecuter,2000,0.0959143518518519
667167,10/18/2010 1:04:12 PM,OrderExecuter,0,667007,10/18/2010 10:48:09 AM,OrderExecuter,1000,0.0944791666666667
692671,11/27/2010 5:53:36 PM,OrderExecuter,0,692659,11/27/2010 3:38:02 PM,OrderExecuter,5000,0.0941435185185185
664196,10/11/2010 4:18:48 PM,OrderExecuter,0,664170,10/11/2010 2:04:54 PM,OrderExecuter,1000,0.0929861111111111
689150,11/23/2010 4:25:14 PM,OrderExecuter,0,688952,11/23/2010 2:12:34 PM,OrderExecuter,500,0.0921296296296296
681007,11/05/2010 5:23:21 PM,OrderExecuter,0,680776,11/05/2010 3:11:35 PM,OrderExecuter,500,0.0915046296296296
673454,10/26/2010 10:24:11 AM,OrderExecuter,0,673321,10/26/2010 8:13:18 AM,OrderExecuter,2500,0.0908912037037037
681098,11/06/2010 11:58:39 AM,OrderExecuter,0,681080,11/06/2010 9:48:27 AM,OrderExecuter,5000,0.0904166666666667
686514,11/19/2010 9:19:47 AM,OrderExecuter,0,686506,11/19/2010 7:11:10 AM,OrderExecuter,500,0.0893171296296296
693019,11/29/2010 8:42:09 AM,OrderExecuter,0,692979,11/29/2010 6:33:49 AM,OrderExecuter,1000,0.0891203703703704
660282,10/01/2010 6:07:00 PM,OrderExecuter,0,660203,10/01/2010 3:59:34 PM,OrderExecuter,1000,0.0884953703703704
682785,11/10/2010 8:24:26 AM,OrderExecuter,0,682744,11/10/2010 6:20:15 AM,OrderExecuter,2000,0.0862384259259259
660887,10/03/2010 9:29:36 PM,OrderExecuter,0,660842,10/03/2010 7:25:33 PM,OrderExecuter,0,0.0861458333333333
688371,11/23/2010 12:40:51 AM,OrderExecuter,0,688356,11/22/2010 10:36:56 PM,OrderExecuter,0,0.0860532407407407
668536,10/20/2010 9:17:52 PM,OrderExecuter,0,668521,10/20/2010 7:15:30 PM,OrderExecuter,1000,0.0849768518518519
676116,10/29/2010 12:43:33 PM,OrderExecuter,2000,676000,10/29/2010 10:41:16 AM,OrderExecuter,0,0.0849189814814815
667389,10/18/2010 4:33:24 PM,OrderExecuter,0,667227,10/18/2010 2:31:21 PM,OrderExecuter,5000,0.0847569444444444
675718,10/28/2010 9:29:12 PM,OrderExecuter,0,675689,10/28/2010 7:27:10 PM,OrderExecuter,2000,0.0847453703703704
678226,11/02/2010 9:26:19 AM,OrderExecuter,1000,678188,11/02/2010 7:24:25 AM,OrderExecuter,2000,0.0846527777777778
692765,11/28/2010 11:33:02 AM,OrderExecuter,2000,692732,11/28/2010 9:31:10 AM,OrderExecuter,2000,0.0846296296296296
660578,10/02/2010 4:51:14 PM,OrderExecuter,1000,660533,10/02/2010 2:49:25 PM,OrderExecuter,2500,0.0845949074074074
661023,10/04/2010 8:57:51 AM,OrderExecuter,0,660973,10/04/2010 6:56:11 AM,OrderExecuter,2000,0.0844907407407407
666696,10/16/2010 7:17:36 PM,OrderExecuter,0,666674,10/16/2010 5:17:08 PM,OrderExecuter,500,0.0836574074074074
682029,11/08/2010 6:57:24 PM,OrderExecuter,500,682013,11/08/2010 4:56:59 PM,OrderExecuter,2000,0.0836226851851852
665318,10/13/2010 8:36:20 PM,OrderExecuter,500,665296,10/13/2010 6:37:16 PM,OrderExecuter,2000,0.0826851851851852
686432,11/18/2010 5:41:17 PM,OrderExecuter,1000,686363,11/18/2010 3:42:26 PM,OrderExecuter,2500,0.0825347222222222
669855,10/22/2010 10:11:14 PM,OrderExecuter,1000,669838,10/22/2010 8:14:17 PM,OrderExecuter,1000,0.0812152777777778
669875,10/23/2010 1:11:26 AM,OrderExecuter,500,669865,10/22/2010 11:14:59 PM,OrderExecuter,500,0.0808680555555556
676638,10/30/2010 6:46:06 PM,OrderExecuter,0,676610,10/30/2010 4:51:18 PM,OrderExecuter,2000,0.0797222222222222
681156,11/06/2010 4:34:35 PM,OrderExecuter,0,681129,11/06/2010 2:39:55 PM,OrderExecuter,1000,0.0796296296296296
668004,10/19/2010 3:44:50 PM,OrderExecuter,0,667917,10/19/2010 1:51:01 PM,OrderExecuter,2500,0.0790393518518519
677591,11/01/2010 9:43:40 AM,OrderExecuter,0,677460,11/01/2010 7:52:10 AM,OrderExecuter,0,0.0774305555555556
692566,11/26/2010 9:36:48 PM,OrderExecuter,1000,692558,11/26/2010 7:47:03 PM,OrderExecuter,1000,0.0762152777777778
666650,10/16/2010 3:33:17 PM,OrderExecuter,1000,666629,10/16/2010 1:43:55 PM,OrderExecuter,2000,0.0759490740740741
692640,11/27/2010 2:24:53 PM,OrderExecuter,0,692613,11/27/2010 12:35:55 PM,OrderExecuter,1000,0.0756712962962963
667462,10/18/2010 9:35:16 PM,OrderExecuter,0,667445,10/18/2010 7:47:10 PM,OrderExecuter,1000,0.0750694444444444
664812,10/12/2010 5:49:09 PM,OrderExecuter,0,664758,10/12/2010 4:01:57 PM,OrderExecuter,500,0.0744444444444444
693818,11/30/2010 12:07:09 AM,OrderExecuter,0,693785,11/29/2010 10:21:19 PM,OrderExecuter,0,0.0734953703703704
687156,11/20/2010 2:39:19 PM,OrderExecuter,1000,687135,11/20/2010 12:53:52 PM,OrderExecuter,500,0.0732291666666667
675401,10/28/2010 11:47:23 AM,OrderExecuter,500,675222,10/28/2010 10:02:20 AM,OrderExecuter,1000,0.0729513888888889
687225,11/20/2010 10:11:35 PM,OrderExecuter,0,687207,11/20/2010 8:27:12 PM,OrderExecuter,2000,0.0724884259259259
682097,11/09/2010 1:45:19 AM,OrderExecuter,0,682093,11/09/2010 12:01:17 AM,OrderExecuter,500,0.0722453703703704
678101,11/01/2010 10:01:04 PM,OrderExecuter,0,678037,11/01/2010 8:17:03 PM,OrderExecuter,0,0.0722337962962963
666674,10/16/2010 5:17:08 PM,OrderExecuter,500,666650,10/16/2010 3:33:17 PM,OrderExecuter,1000,0.0721180555555556
687234,11/20/2010 11:54:09 PM,OrderExecuter,1000,687226,11/20/2010 10:11:54 PM,OrderExecuter,1000,0.0710069444444444
663975,10/10/2010 2:00:01 PM,OrderExecuter,0,663953,10/10/2010 12:19:12 PM,OrderExecuter,2500,0.0700115740740741
692929,11/28/2010 9:45:23 PM,OrderExecuter,0,692908,11/28/2010 8:04:55 PM,OrderExecuter,1000,0.0697685185185185
692347,11/26/2010 9:12:31 AM,OrderExecuter,0,692331,11/26/2010 7:32:15 AM,OrderExecuter,0,0.0696296296296296
